pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,tfopwg_disp
2.5130547,1.796,5050.0,8.55709,1258.82,1659.0,12.3856,341.681,5635.0,4.41,0.85,APC
15.3502505,2.87,26220.0,19.2152,52.6633,750.0,10.7413,206.21,5782.5,3.92,1.0,APC
1.0848133,1.074,14120.0,12.3151,289.23,1148.0,13.4539,427.611,4670.0,4.32,0.99,APC
11.6235,2.783,44708.7,20.7208,31.7369,661.0,11.014,183.391,5518.0,4.34,0.89,APC
3.8099858,4.3118658,13073.87706,18.6054746,1563.275145,1603.720222,10.711,360.072,6674.0,4.19,1.58842,APC
3.0002084,1.7,8545.0,25.2021,777.419,1471.0,11.3534,366.824,5767.0,4.15,1.41,APC
1.0372587,0.9802399,1097.764595,4.6818337,4759.964916,2118.462045,10.9767,313.032,6049.0,4.25,1.3164999,APC
4.118418,2.232,13140.0,17.7065,320.761,1178.0,12.7054,795.26,6374.0,4.19,1.5,APC
4.4064273,1.422,5280.0,14.7596,155.508,983.0,12.3705,911.211,6592.0,4.04,1.86,APC
1.5351652,0.9492628,2977.63065,6.8350786,277.5151143,1040.977661,11.9699,123.083,4215.0,4.59,0.744573,APC
8.22388,1.834,16190.0,12.4698,24.2523,618.0,12.9465,440.102,5177.0,4.39,0.99,APC
12.11028,3.335,35060.0,34.1747,89.3226,856.0,13.2642,821.517,5808.0,4.23,1.29,APC
1.7054246,1.021,3781.0,14.1638,437.196,1273.0,11.3584,604.837,6304.0,3.83,2.24,APC
0.6041576,1.426,4997.0,28.9099,23230.2,3439.0,13.3968,1431.98,6231.0,3.93,1.97,APC
9.9441709,2.698,15252.0,22.7702,91.5833,861.0,11.7635,350.16,5252.0,4.12,1.37,APC
10.1182835,2.645,3120.0,10.4862,147.401,970.0,11.5813,505.231,7253.0,4.13,1.82,APC
4.4236732,1.4711492,10682.15318,12.6262986,457.5894483,1179.610827,11.5552,327.13,6096.0,4.44,1.06163,APC
10.3918699,1.167,4800.0,13.0244,20.6991,594.0,12.0149,707.148,6683.0,4.13,1.69,APC
2.1040634,1.38,3200.0,14.9729,1713.13,1792.0,12.3433,632.756,5973.3,4.1,1.54,APC
0.7729066,1.109,2850.0,6.51984,2135.77,1893.0,12.7859,640.574,6125.0,4.35,1.19,APC
2.9859012,1.205,4150.0,14.0883,339.369,1195.0,11.9181,806.325,6709.5,4.02,1.94,APC
0.6848358,0.88,1430.0,4.49427,2198.68,1907.0,11.4534,353.355,6385.1,4.47,1.1,APC
4.9807125,3.333,26850.0,17.2544,231.2,1086.0,12.6865,470.353,5545.7,4.39,1.04,APC
0.4399856,0.603,6830.0,18.9074,1456.36,1721.0,13.3585,412.034,4423.0,4.19,1.1,APC
0.896271,0.996,12490.0,13.8677,818.614,1490.0,12.9959,655.503,5726.0,4.27,1.22,APC
1.8460997,1.706,3740.0,16.4485,3553.44,2150.0,12.7134,784.669,6123.9,4.16,1.48,APC
11.2005651,1.367,7000.0,15.4812,13.6838,535.0,12.0089,539.007,5682.2,4.02,1.63,APC
2.071333,2.282,1920.0,6.35115,1179.85,1632.0,11.8825,509.299,6004.0,4.17,1.44,APC
10.1614815,1.259,3230.0,7.66646,23.4406,612.0,11.3815,379.347,6297.0,4.34,1.24,APC
0.6451059,0.573,3430.0,6.79091,800.418,1481.0,12.773,387.358,5436.3,4.52,0.88,APC
1.4680992,2.0456598,18506.46621,25.1682214,1531.155428,1595.4183,11.4582,267.999,5433.0,4.33,1.10122,APC
2.4892754,1.513,2750.0,15.5724,660.426,1412.0,11.3258,672.679,6285.0,3.65,2.76,APC
0.39149,0.746,578.202,5.95564,13030.0,2976.0,8.00006,142.401,6216.1,3.73,2.25,APC
1.6323062,1.890872,12429.18622,15.8543427,757.4076888,1337.987872,13.0444,408.646,5099.9,4.45,0.912575,APC
2.1654694,3.408,4990.0,13.5615,2503.96,1970.0,12.7862,959.461,5830.0,4.26,1.86,APC
16.3558787,4.674,1220.0,3.48406,68.1566,800.0,11.2452,243.519,5740.0,4.45,1.0,APC
2.4307782,1.708,1310.0,12.4035,506.486,1321.0,12.0844,1212.25,6015.0,3.45,3.3,APC
0.7011578,0.932,5890.0,13.2816,4863.59,2326.0,11.5765,464.611,6036.0,4.13,1.51,APC
0.8659846,0.891,1660.0,8.86618,1311.06,1676.0,12.2075,745.908,5815.0,3.89,1.92,APC
3.2089372,3.1,6310.0,19.3856,1849.02,1826.0,9.5399,397.15,7423.0,3.89774,2.43,APC
3.6928289,3.866,5223.0,15.6542,1756.36,1803.0,10.1793,430.587,7042.0,3.97,2.13,APC
1.5954319,1.0,473.6397437,4.3219935,10433.76094,2577.685746,8.2938,166.873,7511.0,3.92857,1.92067,APC
1.0432995,1.169,3260.0,6.51532,1405.89,1705.0,12.5496,505.742,5943.0,4.42,1.07,APC
1.0754208,1.01,4950.0,9.41227,358.947,1212.0,12.9715,393.038,4614.0,4.16,1.17,APC
0.6333372,0.6217089,1063.780003,4.4957089,9433.551183,2513.555923,8.96,124.504,5999.0,4.22,1.34655,APC
1.2125595,1.344,5110.0,11.1279,1780.99,1809.0,13.079,963.819,6719.0,4.25,1.48,APC
0.6090253,1.099,6100.0,15.1945,8004.34,2635.0,10.361,151.054,5271.7,4.34,1.02,APC
0.6333315,0.404,320.0,6.24344,451.285,1284.0,7.82829,121.888,5713.0,3.67,2.35,APC
1.1703152,1.319,5380.0,9.82528,2357.73,1941.0,12.9526,746.443,6328.0,4.36,1.23,APC
7.4997158,2.0504305,3023.521522,13.7499035,475.6186937,1191.0623,10.0865,219.732,4979.2,3.92,1.90969,APC
11.4041935,1.7478969,2216.71914,18.1901191,1064.601995,1456.855804,9.50494,330.437,6160.0,3.55136,3.0048201,APC
3.5018023,3.917956,16196.19121,22.103526,1744.660839,1648.342676,11.921,674.155,6383.9,4.03,1.66889,APC
5.5292743,2.542935,17914.45767,23.5458512,549.2969498,1234.72871,8.8695,126.177,6350.0,4.34,1.26396,APC
10.7148661,2.1121584,56325.91737,14.037554,3.1541502,339.8915287,12.4258,53.5063,3054.0,4.438,0.422267,APC
18.0826084,2.3867987,8002.785566,3.911716,11.0589985,465.1025269,9.441,78.7806,3321.0,4.95373,0.296,APC
4.4291253,0.9461342,700.0516873,6.3443547,2105.609561,1727.683599,9.5473,286.94,6559.17,3.95184,2.0848899,APC
1.2969404,3.4301667,52197.50054,11.2860342,48.3357374,672.4915576,16.1779,297.693,3003.0,4.76981,0.463184,APC
11.5341529,1.332,1750.0,6.82739,19.425,584.0,11.0796,395.245,6356.0,4.18,1.51,APC
1.9113216,1.167,7400.0,10.1581,223.347,1076.0,11.8326,213.014,4578.0,4.25,1.05,APC
2.6875966,1.469,2480.0,13.3886,272.867,1132.0,12.4562,954.316,5885.0,3.77,2.24,APC
6.0049484,3.366,8932.0,12.6954,315.049,1173.0,11.9135,498.418,6373.5,4.26,1.26,APC
6.7519508,1.603,11050.0,19.5004,209.336,1059.0,12.6847,1349.57,8297.0,4.29,1.69,APC
1.6102435,2.3258711,5442.478593,16.8320485,3426.343546,1951.315418,13.1561,954.883,6080.2,4.15,1.48651,APC
8.4481666,1.255,7405.0,10.2494,22.9265,609.0,11.0783,243.539,5826.1,4.42,1.05,APC
1.2655205,1.344,6380.0,11.3966,583.776,1369.0,13.4804,803.063,5243.0,4.1,1.41,APC
0.8313018,1.181,1770.0,6.57285,1906.13,1840.0,12.6116,516.417,5983.0,4.4,1.1,APC
2.767691,1.876437,22690.26335,28.980984,2360.100039,1777.67495,12.33,791.384,6717.03,4.2,1.54739,APC
