koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
6.15560285,134.81656,0.235,4.9843,2.8500e+02,2.32,1146,406.94,35.1,5739,4.191,1.384,287.89713,40.637821,15.084
2.090811305,134.17462,0.746,3.388,1.1590e+02,1.62,1642,1718.04,19.9,5739,4.191,1.384,287.89713,40.637821,15.084
3.180027898,133.49863,0.196,3.5797,1.2030e+02,1.53,1458,1066.86,50.4,5847,4.191,1.402,297.02826,48.208611,12.487
50.4467417,178.5014,0.379,7.159,3.7030e+02,2.67,568,24.64,19.4,5739,4.191,1.384,287.89713,40.637821,15.084
11.76307164,180.93613,0.048,2.9076,1.0373e+03,2.35,616,33.99,48.9,4959,4.603,0.756,294.20215,40.66341,15.208
56.2279271,132.29259,0.7,3.57,8.6270e+02,2.37,366,4.22,20.9,4959,4.603,0.756,294.20215,40.66341,15.208
2.384052875,171.58362,1.178,3.0918,1.2681e+03,17.06,1010,244.87,50.5,4794,4.58,0.701,299.64285,40.691238,15.836
7.953547,174.66224,0.3,2.6312,8.7540e+02,2.25,696,55.37,38.4,4768,4.536,0.779,291.15878,40.750271,15.66
4.14451656,135.92831,0.004,2.3421,3.9180e+02,1.48,864,132.08,22.8,4768,4.536,0.779,291.15878,40.750271,15.66
4.859386384,173.011469,1.259,2.2757,6.0443e+03,38.33,1114,364.23,269.7,6072,4.47,0.988,292.21436,40.759762,15.311
10.52629458,176.522462,0.644,2.5211,9.7680e+03,8.24,713,61.16,482.3,5386,4.553,0.793,293.87811,41.66177,15.305
4.583520948,169.973972,0.045,2.7055,3.8121e+03,5.39,1038,274.98,99.5,5815,4.54,0.877,299.18686,41.74268,15.287
3.76181843,171.90364,0.926,3.5176,5.1060e+02,2.66,1121,372.62,35.9,5653,4.472,0.949,283.31638,41.83712,15.257
8.20396958,169.69138,0.823,2.9667,1.0244e+03,3.01,742,71.5,54.4,5015,4.499,0.826,286.5657,41.808399,15.376
14.49645186,143.41659,0.97,4.016,6.4750e+02,3.01,613,33.48,25.7,5015,4.499,0.826,286.5657,41.808399,15.376
6.54626149,133.85964,0.644,2.75,6.5590e+02,2.19,810,101.78,24.8,5251,4.581,0.817,292.23676,41.08588,15.855
12.71809866,175.35526,0.427,3.0957,1.1494e+03,2.31,562,23.6,52.7,4702,4.592,0.686,292.91312,41.060921,15.389
36.06588163,198.58423,0.26,4.3246,1.5638e+03,2.64,397,5.88,51.7,4702,4.592,0.686,292.91312,41.060921,15.389
4.190425659,171.44122,0.458,2.8589,2.8774e+03,6.21,1234,547.9,240.6,6073,4.392,1.135,293.49661,41.137589,15.27
3.709870784,171.987982,0.023,3.0694,2.0203e+03,4.35,1151,415.1,116.1,5727,4.463,0.978,283.86441,41.346458,15.581
16.3297527,177.29506,0.791,6.271,1.1875e+03,3.75,727,66.08,74.6,5878,4.444,0.987,288.51001,41.301769,15.447
27.80756622,186.713552,0.782,4.21587,2.5391e+04,13.84,554,22.24,748.1,5862,4.584,0.785,296.88821,41.396091,15.482
80.8723469,203.895,0.527,11.195,3.6046e+03,7.59,452,9.88,160.9,5510,4.222,1.238,287.1543,41.565788,15.201
3.166465862,172.002627,1.266,2.9381,4.3572e+03,26.82,954,196.31,122.1,4968,4.575,0.704,284.86929,41.679192,15.999
24.99324319,138.68167,0.686,5.9409,2.6960e+02,2.29,712,60.88,62,5718,4.181,1.317,287.36279,38.649601,12.377
10.35533116,170.93729,0.029,3.1775,7.5060e+02,2.47,777,86.22,49.2,5501,4.462,0.918,288.9942,41.633282,15.018
16.08518937,180.28319,0.867,3.984,1.4424e+03,3.68,613,33.43,62.6,5239,4.523,0.826,292.10519,42.380322,15.219
235.9986399,208.399822,0.778,8.2284,2.0715e+04,10.59,188,0.29,271.8,4245,4.627,0.657,293.00797,42.307201,15.172
7.49018305,174.95037,0.02,2.7297,1.1236e+03,2.56,753,76.06,53,5103,4.562,0.787,291.63898,42.436321,15.599
36.2761238,201.2869,0.035,4.7865,1.5726e+03,3.03,445,9.29,45.5,5103,4.562,0.787,291.63898,42.436321,15.599
17.46087931,137.26594,0.594,2.2641,8.1240e+02,2.32,568,24.6,22.6,5103,4.562,0.787,291.63898,42.436321,15.599
56.0560754,201.16578,0.018,4.685,1.6260e+03,1.94,233,0.69,27.4,3593,4.757,0.491,289.50848,41.812119,15.849
41.40831669,195.78745,0.377,5.0264,2.2839e+04,11.38,453,9.93,907.8,5522,4.586,0.747,291.76041,41.944069,15.196
39.74893077,172.854644,0.881,7.3051,1.5179e+04,14.21,552,21.87,561.1,6122,4.487,0.964,293.17929,41.969238,15.344
5.715425977,174.87931,0.348,2.5242,9.0810e+02,2.47,850,123.03,59.4,5237,4.572,0.826,285.11047,42.033958,15.086
49.18394185,141.911924,0.035,11.3364,1.6462e+03,8.2,669,47.4,355.7,5626,3.907,2.057,294.55917,46.062328,12.654
20.0261412,146.91109,0.957,1.611,4.2120e+02,2.28,559,23.14,10.7,5237,4.572,0.826,285.11047,42.033958,15.086
13.61014819,173.987319,1.081,2.594,5.7329e+03,19.02,733,68.29,184.1,5697,4.46,0.903,289.89777,42.009151,15.06
10.44331991,175.4046,0.23,2.743,1.1598e+03,2.66,667,46.94,51.7,4947,4.516,0.802,286.24356,42.148811,15.546
2.237489571,170.81914,0.128,1.8119,3.1580e+02,1.41,1160,427.17,30.7,5265,4.58,0.81,290.00757,42.116459,15.001
5.851520671,173.8228336,0.211,3.11058,3.3004e+04,14.62,901,155.89,1630.4,5532,4.53,0.806,284.08731,42.233231,15.33
3.167893418,172.147959,0.026,2.1814,7.8120e+02,2.62,1221,526.23,64.8,5895,4.503,0.94,293.81647,42.212502,15.533
4.311780262,173.576483,0.196,2.7251,1.1540e+03,3.11,1038,274.84,86.1,5527,4.484,0.927,287.24268,42.301369,15.604
20.0504494,188.08821,0.383,4.556,8.4090e+02,2.69,622,35.44,37.8,5527,4.484,0.927,287.24268,42.301369,15.604
9.76734503,186.57718,0.9,1.6585,5.6910e+02,2.67,791,92.46,21.1,5527,4.484,0.927,287.24268,42.301369,15.604
119.0207044,222.236492,0.076,8.1405,7.4305e+03,8.98,366,4.25,223.5,5453,4.342,1.062,291.58377,42.36816,15.085
190.3200468,312.68498,0.812,15.284,1.1417e+03,7.78,426,7.8,139.3,5626,3.907,2.057,294.55917,46.062328,12.654
2.861159894,171.648106,0.965,1.8832,1.0143e+03,4.37,1355,797.1,58.3,6126,4.458,1.021,291.67172,42.343109,15.618
26.44439337,194.12074,0.03,3.9783,1.8435e+03,3.91,562,23.54,88,5427,4.463,0.929,292.87338,42.966141,15.158
51.53997972,174.055011,0.183,6.3994,3.6443e+03,5.51,450,9.67,155.5,5427,4.463,0.929,292.87338,42.966141,15.158
5.902245782,136.78393,0.209,2.9003,7.0230e+02,2.43,926,173.74,59.3,5427,4.463,0.929,292.87338,42.966141,15.158
2.382951591,135.080841,0.479,1.8876,3.9160e+02,1.86,1253,583.01,41.4,5427,4.463,0.929,292.87338,42.966141,15.158
21.02250608,207.67593,0.036,4.1072,1.7725e+03,3.07,521,17.48,62.4,5067,4.585,0.75,294.90973,42.935261,15.859
3.219814777,133.00406,0.06,2.0642,4.8820e+02,1.69,998,234.93,30.5,5103,4.562,0.787,291.63898,42.436321,15.599
5.912273234,172.184012,0.17,2.3254,9.6140e+02,1.73,585,27.72,62.8,4072,4.696,0.57,292.13702,42.42942,15.036
