koi_period,koi_period_err1,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_model_snr,koi_tce_plnt_num,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_disposition_encoded
22.36646466,9.761e-05,0.00354,0.4,0.066,-0.4,5.228,0.122,986.8,35.1,2.32,0.38,536.0,19.45,10.29,32.1,1.0,0.032,-0.104,0.734,0.122,-0.052,2
1.625522174,1.58e-07,7.61e-05,0.076,0.022,-0.076,2.38963,0.00338,7969.0,11.8,9.73,1.41,1579.0,1467.41,576.36,799.7,1.0,0.137,-0.1,1.106,0.161,-0.161,2
19.620346923,3.73e-06,0.000148,0.458,0.08,-0.165,2.0038,0.0292,21724.6,85.0,13.6,1.82,643.0,40.39,14.34,340.5,1.0,0.048,-0.112,0.905,0.121,-0.061,1
7.544039,0.0001023,0.0105,1.175,33.63,-0.911,6.222,0.731,322.6,28.2,17.47,4.12,838.0,116.46,81.18,14.2,2.0,0.038,-0.152,0.824,0.194,-0.078,0
9.02930689,1.648e-05,0.00142,0.024,0.401,-0.024,3.1449,0.0528,1019.8,21.9,2.57,0.44,757.0,77.75,43.01,53.9,1.0,0.063,-0.108,0.82,0.141,-0.082,2
10.328035714,3.762e-06,0.000306,0.281,0.04,-0.064,7.7915,0.0272,16917.7,31.8,13.28,3.64,843.0,119.31,98.49,636.8,1.0,0.18,-0.18,1.024,0.28,-0.186,0
143.2063047,0.0002348,0.0013,0.379,0.073,-0.273,8.9302,0.0961,10565.7,82.4,8.9,0.82,308.0,2.14,0.59,138.8,2.0,0.014,-0.081,0.867,0.079,-0.037,2
6.164876,4.635e-05,0.00661,0.646,0.323,-0.43,3.262,0.186,55.8,4.3,0.79,0.13,1021.0,256.35,109.03,14.4,3.0,0.09,-0.11,1.012,0.154,-0.103,2
60.32494216,3.207e-05,0.000423,0.224,0.067,-0.146,6.6188,0.0327,20280.4,64.0,12.19,1.11,411.0,6.77,1.89,347.2,1.0,0.014,-0.081,0.867,0.079,-0.037,2
1.540397253,2.702e-06,0.0015,1.225,6.813,-0.101,2.1541,0.0846,816.1,25.7,25.69,7.44,1470.0,1105.68,965.56,38.8,1.0,0.036,-0.204,0.915,0.265,-0.083,0
2.99025443,1.168e-05,0.00309,0.014,0.334,-0.014,5.414,0.113,589.2,14.1,1.7,0.1,918.0,168.45,43.55,48.5,1.0,0.048,-0.028,0.731,0.042,-0.063,0
1.594745374,1.13e-07,5.79e-05,0.514,0.022,-0.037,1.9604,0.0106,15044.5,20.3,11.3,3.09,1539.0,1329.42,1067.75,1009.3,1.0,0.065,-0.195,0.893,0.244,-0.105,2
4.783002698,5.432e-06,0.000943,0.003,0.425,-0.003,2.335,0.0332,1008.7,16.6,2.5,0.34,886.0,145.48,66.39,70.6,1.0,0.026,-0.097,0.807,0.111,-0.06,2
20.50588921,3.206e-05,0.00122,0.26,0.151,-0.26,4.0595,0.0481,2105.5,31.0,3.41,0.28,518.0,17.06,5.47,78.5,1.0,0.072,-0.044,0.761,0.063,-0.07,2
